,0,1
0,상장일,NNG
1,소속코드,NNG
2,유동비율,NNG
3,당좌비율,NNG
4,현금비율,NNG
5,순운전자산비율,NNG
6,부채비율,NNG
7,자기자비본배율,NNG
8,이자보상배율,NNG
9,비유동비율,NNG
10,유동자산구성비율,NNG
11,자기자본구성비율,NNG
12,차입금의존도,NNG
13,매출액증가율,NNG
14,총자본증가율,NNG
15,자기자본증가율,NNG
16,순이익증가율,NNG
17,유형자산증가율,NNG
18,비유동자산증가,NNG
19,유동자산증가율,NNG
20,재고자산증가율,NNG
21,매출액총이익률,NNG
22,매출액순이익률,NNG
23,총자본사업이익률,NNG
24,총자본순이익률,NNG
25,자기자본순이익률,NNG
26,1주당순이익,NNG
27,1주당매출액,NNG
28,금융비용 대 총비용비율,NNG
29,총자본회전률,NNG
30,자기자본회전율,NNG
31,비유동자산회전률,NNG
32,재고자산회전률,NNG
33,매출채권회전률,NNG
34,매입채권회전률,NNG
35,재고자산회전기간,NNG
36,매출채권회전기간,NNG
37,1회전기간,NNG
38,운전자본회전률,NNG
39,순운전자본회전률,NNG
40,유형자산회전율,NNG
41,유동자산회전률,NNG
42,당좌자산회전률,NNG
43,부가가치,NNG
44,총자본투자효율,NNG
45,설비투자효율,NNG
46,기계투자효율,NNG
47,부가가치율,NNG
48,노동소득분배율,NNG
49,자본분배율,NNG
50,이윤분배율,NNG
51,(주)DB하이텍,NNG
52,삼성SDI(주),NNG
53,삼성물산(주),NNG
54,삼성에스디에스(주),NNG
55,삼성엔지니어링(주),NNG
56,삼성전기(주),NNG
57,삼성전자(주),NNG
58,삼성제약(주),NNG
59,삼성중공업(주),NNG
60,삼아알미늄(주),NNG
61,삼양식품(주),NNG
62,삼양통상(주),NNG
63,삼영무역(주),NNG
64,삼영전자공업(주),NNG
65,삼익티에이치케이(주),NNG
66,삼일제약(주),NNG
67,삼정펄프(주),NNG
68,삼진제약(주),NNG
69,삼호개발(주),NNG
70,삼화왕관(주),NNG
71,삼화전기(주),NNG
72,삼성공조(주),NNG
73,삼부토건(주),NNG
74,롯데하이마트(주),NNG
75,사조씨푸드(주),NNG
76,명신산업(주),NNG
77,무림페이퍼(주),NNG
78,무림피앤피(주),NNG
79,문배철강(주),NNG
80,미래산업(주),NNG
81,미원상사(주),NNG
82,미원홀딩스(주),NNG
83,미원화학(주),NNG
84,미창석유공업(주),NNG
85,백광산업(주),NNG
86,범양건영(주),NNG
87,보해양조(주),NNG
88,부광약품(주),NNG
89,부국철강(주),NNG
90,부산산업(주),NNG
91,부산주공(주),NNG
92,비케이탑스(주),NNG
93,사조동아원(주),NNG
94,사조산업(주),NNG
95,삼화전자공업(주),NNG
96,삼화콘덴서공업(주),NNG
97,삼화페인트공업(주),NNG
98,상신브레이크(주),NNG
99,쌍용씨앤이(주),NNG
100,써니전자(주),NNG
101,씨에스윈드(주),NNG
102,씨제이(주),NNG
103,씨제이대한통운(주),NNG
104,씨제이씨지브이(주),NNG
105,씨제이씨푸드(주),NNG
106,씨제이제일제당(주),NNG
107,아남전자(주),NNG
108,아세아(주),NNG
109,아세아제지(주),NNG
110,아시아나아이디티(주),NNG
111,아시아나항공(주),NNG
112,아이에스동서(주),NNG
113,아주스틸(주),NNG
114,애경산업(주),NNG
115,에스디바이오센서(주),NNG
116,에스엘(주),NNG
117,에스지씨에너지(주),NNG
118,신풍제약(주),NNG
119,신일전자(주),NNG
120,신송홀딩스(주),NNG
121,성창기업지주(주),NNG
122,새론오토모티브(주),NNG
123,샘표(주),NNG
124,서울도시가스(주),NNG
125,서울식품공업(주),NNG
126,선도전기(주),NNG
127,성문전자(주),NNG
128,성보화학(주),NNG
129,성신양회(주),NNG
130,세기상사(주),NNG
131,신세계건설(주),NNG
132,세방(주),NNG
133,세방전지(주),NNG
134,세원이앤씨(주),NNG
135,세종공업(주),NNG
136,세하(주),NNG
137,송원산업(주),NNG
138,신대양제지(주),NNG
139,신라교역(주),NNG
140,명문제약(주),NNG
141,롯데케미칼(주),NNG
142,에스케이가스(주),NNG
143,그랜드코리아레저(주),NNG
144,극동유화(주),NNG
145,금강공업(주),NNG
146,금호건설(주),NNG
147,금호석유화학(주),NNG
148,금호전기(주),NNG
149,금호타이어(주),NNG
150,기아(주),NNG
151,깨끗한나라(주),NNG
152,남광토건(주),NNG
153,남양유업(주),NNG
154,(주)HJ중공업,NNG
155,네이버(주),NNG
156,넥센타이어(주),NNG
157,넷마블(주),NNG
158,다스코(주),NNG
159,대림비앤코(주),NNG
160,대림통상(주),NNG
161,대상(주),NNG
162,대상홀딩스(주),NNG
163,그린케미칼(주),NNG
164,국제약품(주),NNG
165,롯데칠성음료(주),NNG
166,국도화학(주),NNG
167,KISCO홀딩스(주),NNG
168,LG이노텍(주),NNG
169,LS일렉트릭(주),NNG
170,SK이노베이션(주),NNG
171,SNT다이내믹스(주),NNG
172,SNT모티브(주),NNG
173,STX엔진(주),NNG
174,STX중공업(주),NNG
175,가온전선(주),NNG
176,강남제비스코(주),NNG
177,경인전자(주),NNG
178,계룡건설산업(주),NNG
179,계양전기(주),NNG
180,고려산업(주),NNG
181,고려아연(주),NNG
182,고려제강(주),NNG
183,광동제약(주),NNG
184,광전자(주),NNG
185,교촌에프앤비(주),NNG
186,대성산업(주),NNG
187,대성에너지(주),NNG
188,대성홀딩스(주),NNG
189,대영포장(주),NNG
190,동원수산(주),NNG
191,동원시스템즈(주),NNG
192,동일산업(주),NNG
193,동일제강(주),NNG
194,동화약품(주),NNG
195,두산에너빌리티(주),NNG
196,디씨엠(주),NNG
197,디아이동일(주),NNG
198,디에스알(주),NNG
199,디에스알제강(주),NNG
200,디엘(주),NNG
201,디엘건설(주),NNG
202,디와이(주),NNG
203,롯데관광개발(주),NNG
204,롯데렌탈(주),NNG
205,롯데쇼핑(주),NNG
206,롯데에너지머티리얼즈(주),NNG
207,롯데정밀화학(주),NNG
208,롯데지주(주),NNG
209,동원산업(주),NNG
210,동양피스톤(주),NNG
211,동양철관(주),NNG
212,대한전선(주),NNG
213,대우전자부품(주),NNG
214,대원강업(주),NNG
215,대원전선(주),NNG
216,대원제약(주),NNG
217,대원화성(주),NNG
218,대창단조(주),NNG
219,대한방직(주),NNG
220,대한유화(주),NNG
221,대한제강(주),NNG
222,동아쏘시오홀딩스(주),NNG
223,대한제당(주),NNG
224,대한제분(주),NNG
225,대한해운(주),NNG
226,대한화섬(주),NNG
227,덕양산업(주),NNG
228,동국홀딩스(주),NNG
229,동부건설(주),NNG
230,동성제약(주),NNG
231,에스케이(주),NNG
232,에스케이네트웍스(주),NNG
233,CS홀딩스(주),NNG
234,피아이첨단소재(주),NNG
235,하이트진로(주),NNG
236,하이트진로홀딩스(주),NNG
237,한국가스공사(주),NNG
238,한국공항(주),NNG
239,한국내화(주),NNG
240,한국단자공업(주),NNG
241,한국무브넥스(주),NNG
242,한국석유공업(주),NNG
243,한국수출포장공업(주),NNG
244,한국쉘석유(주),NNG
245,한국앤컴퍼니(주),NNG
246,한국유나이티드제약(주),NNG
247,한국전력공사(주),NNG
248,한국전력기술(주),NNG
249,한국주강(주),NNG
250,한국주철관공업(주),NNG
251,한국지역난방공사,NNG
252,한국철강(주),NNG
253,한국콜마홀딩스(주),NNG
254,하나제약(주),NNG
255,포스코홀딩스(주),NNG
256,코오롱인더스트리(주),NNG
257,포스코스틸리온(주),NNG
258,코웨이(주),NNG
259,쿠쿠홀딩스(주),NNG
260,태경산업(주),NNG
261,태경케미컬(주),NNG
262,태광산업(주),NNG
263,태림포장(주),NNG
264,태양금속공업(주),NNG
265,태원물산(주),NNG
266,태평양물산(주),NNG
267,텔코웨어(주),NNG
268,티와이엠(주),NNG
269,티케이지휴켐스(주),NNG
270,파미셀(주),NNG
271,팜젠사이언스(주),NNG
272,팬오션(주),NNG
273,퍼스텍(주),NNG
274,페이퍼코리아(주),NNG
275,평화산업(주),NNG
276,평화홀딩스(주),NNG
277,한국항공우주산업(주),NNG
278,한국화장품(주),NNG
279,한미반도체(주),NNG
280,한미사이언스(주),NNG
281,해태제과식품(주),NNG
282,핸즈코퍼레이션(주),NNG
283,현대건설(주),NNG
284,현대글로비스(주),NNG
285,현대로템(주),NNG
286,현대모비스(주),NNG
287,현대비앤지스틸(주),NNG
288,현대엘리베이터(주),NNG
289,현대오토에버(주),NNG
